donor_id,cell_type,disease,n_cells,sample_id
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610296,pancreatic stellate cell,normal,1425,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610296|pancreatic_stellate_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G2,pancreatic PP cell,type 2 diabetes mellitus,312,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G2|pancreatic_PP_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13631,pancreatic D cell,type 2 diabetes mellitus,199,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13631|pancreatic_D_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G5,pancreatic PP cell,type 2 diabetes mellitus,767,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G5|pancreatic_PP_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13641,type B pancreatic cell,type 2 diabetes mellitus,2205,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13641|type_B_pancreatic_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13632,pancreatic D cell,type 2 diabetes mellitus,1433,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13632|pancreatic_D_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G6,pancreatic A cell,type 2 diabetes mellitus,2539,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G6|pancreatic_A_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13631,pancreatic A cell,type 2 diabetes mellitus,132,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13631|pancreatic_A_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13631,type B pancreatic cell,type 2 diabetes mellitus,865,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13631|type_B_pancreatic_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13976,type B pancreatic cell,normal,5459,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13976|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751504,type B pancreatic cell,normal,1860,mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751504|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G3,pancreatic D cell,type 2 diabetes mellitus,688,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G3|pancreatic_D_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985098,pancreatic D cell,normal,74,mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985098|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G1,type B pancreatic cell,normal,5795,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G1|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610297,pancreatic stellate cell,normal,1136,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610297|pancreatic_stellate_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse4,type B pancreatic cell,normal,4325,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse4|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610297,endothelial cell,normal,698,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610297|endothelial_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__146_mRFP,type B pancreatic cell,normal,2628,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__146_mRFP|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__145_mGFP,pancreatic A cell,normal,4046,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__145_mGFP|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse1,type B pancreatic cell,normal,3245,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse1|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__147_mTmG,pancreatic D cell,normal,336,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__147_mTmG|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13632,type B pancreatic cell,type 2 diabetes mellitus,8114,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13632|type_B_pancreatic_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G4,pancreatic A cell,type 2 diabetes mellitus,1487,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G4|pancreatic_A_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13634,type B pancreatic cell,normal,4043,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13634|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13974,pancreatic D cell,normal,205,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13974|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__145_mGFP,type B pancreatic cell,normal,3246,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__145_mGFP|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse2,type B pancreatic cell,normal,4252,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse2|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610295,pancreatic ductal cell,normal,777,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610295|pancreatic_ductal_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985097,type B pancreatic cell,normal,445,mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985097|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13640,type B pancreatic cell,type 2 diabetes mellitus,5367,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13640|type_B_pancreatic_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G8,pancreatic A cell,type 2 diabetes mellitus,1052,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G8|pancreatic_A_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13974,type B pancreatic cell,normal,6445,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13974|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13632,pancreatic A cell,type 2 diabetes mellitus,2007,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13632|pancreatic_A_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G8,type B pancreatic cell,type 2 diabetes mellitus,1421,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G8|type_B_pancreatic_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751509,pancreatic PP cell,normal,75,mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751509|pancreatic_PP_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610295,pancreatic D cell,normal,651,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610295|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13642,pancreatic D cell,type 2 diabetes mellitus,572,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13642|pancreatic_D_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__146_mRFP,pancreatic A cell,normal,2838,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__146_mRFP|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13633,type B pancreatic cell,normal,3623,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13633|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G3,type B pancreatic cell,type 2 diabetes mellitus,1204,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G3|type_B_pancreatic_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13632,pancreatic stellate cell,type 2 diabetes mellitus,1244,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13632|pancreatic_stellate_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13640,pancreatic A cell,type 2 diabetes mellitus,612,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13640|pancreatic_A_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985097,pancreatic D cell,normal,125,mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985097|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13642,type B pancreatic cell,type 2 diabetes mellitus,4641,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13642|type_B_pancreatic_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13975,type B pancreatic cell,normal,2413,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_2y__MUC13975|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13640,pancreatic PP cell,type 2 diabetes mellitus,192,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13640|pancreatic_PP_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G4,type B pancreatic cell,type 2 diabetes mellitus,1135,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G4|type_B_pancreatic_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13632,endothelial cell,type 2 diabetes mellitus,782,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13632|endothelial_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G2,type B pancreatic cell,type 2 diabetes mellitus,1496,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G2|type_B_pancreatic_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610295,pancreatic stellate cell,normal,1743,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610295|pancreatic_stellate_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__146_mRFP,endothelial cell,normal,189,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__146_mRFP|endothelial_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G4,pancreatic stellate cell,type 2 diabetes mellitus,219,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G4|pancreatic_stellate_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985099,type B pancreatic cell,normal,783,mouse_pancreatic_islet_atlas_Hrovatin__NOD__SRR10985099|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G6,endothelial cell,type 2 diabetes mellitus,284,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G6|endothelial_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G2,pancreatic A cell,type 2 diabetes mellitus,2895,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G2|pancreatic_A_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G4,endothelial cell,type 2 diabetes mellitus,294,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G4|endothelial_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13639,pancreatic A cell,type 2 diabetes mellitus,1479,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13639|pancreatic_A_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G4,pancreatic D cell,type 2 diabetes mellitus,1195,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G4|pancreatic_D_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G3,pancreatic A cell,type 2 diabetes mellitus,1099,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G3|pancreatic_A_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__147_mTmG,type B pancreatic cell,normal,1536,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__147_mTmG|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G2,pancreatic stellate cell,type 2 diabetes mellitus,425,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G2|pancreatic_stellate_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13633,pancreatic A cell,normal,719,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13633|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G8,pancreatic D cell,type 2 diabetes mellitus,787,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G8|pancreatic_D_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13632,pancreatic PP cell,type 2 diabetes mellitus,341,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13632|pancreatic_PP_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610296,pancreatic D cell,normal,645,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610296|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse4,pancreatic A cell,normal,629,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse4|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G6,type B pancreatic cell,type 2 diabetes mellitus,1670,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G6|type_B_pancreatic_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse3,type B pancreatic cell,normal,1916,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse3|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13641,pancreatic A cell,type 2 diabetes mellitus,437,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13641|pancreatic_A_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610296,pancreatic ductal cell,normal,574,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610296|pancreatic_ductal_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610297,pancreatic D cell,normal,1236,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610297|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610295,pancreatic A cell,normal,334,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610295|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G6,pancreatic stellate cell,type 2 diabetes mellitus,314,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G6|pancreatic_stellate_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G5,type B pancreatic cell,type 2 diabetes mellitus,1608,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G5|type_B_pancreatic_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse1,pancreatic PP cell,normal,251,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_adult__mouse1|pancreatic_PP_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13642,endothelial cell,type 2 diabetes mellitus,250,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13642|endothelial_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13639,endothelial cell,type 2 diabetes mellitus,520,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13639|endothelial_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751509,type B pancreatic cell,normal,420,mouse_pancreatic_islet_atlas_Hrovatin__spikein_drug__SRR10751509|type_B_pancreatic_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610295,endothelial cell,normal,991,mouse_pancreatic_islet_atlas_Hrovatin__NOD_elimination__SRR7610295|endothelial_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G1,pancreatic A cell,normal,1141,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G1|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13641,pancreatic ductal cell,type 2 diabetes mellitus,729,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13641|pancreatic_ductal_cell|type_2_diabetes_mellitus
mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__145_mGFP,pancreatic D cell,normal,1060,mouse_pancreatic_islet_atlas_Hrovatin__Fltp_P16__145_mGFP|pancreatic_D_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13634,pancreatic A cell,normal,650,mouse_pancreatic_islet_atlas_Hrovatin__VSG__MUC13634|pancreatic_A_cell|normal
mouse_pancreatic_islet_atlas_Hrovatin__STZ__G4,pancreatic PP cell,type 2 diabetes mellitus,447,mouse_pancreatic_islet_atlas_Hrovatin__STZ__G4|pancreatic_PP_cell|type_2_diabetes_mellitus
